Что такое "checked" и "unchecked" исключения в Java?	a. "Checked" исключения - это исключения, которые обязательно должны быть обработаны в программе во время компиляции, а "unchecked" исключения - это исключения, которые могут быть необработаны.	b. "Checked" исключения - это исключения, которые могут быть необработаны в программе, а "unchecked" исключения - это исключения, которые обязательно должны быть обработаны в программе.	c. "Checked" исключения - это исключения, которые возникают при работе с потоками ввода-вывода, а "unchecked" исключения - это исключения, которые возникают при работе с графическими интерфейсами.	d. "Checked" исключения - это исключения, которые возникают при работе с графическими интерфейсами, а "unchecked" исключения - это исключения, которые возникают при работе с потоками ввода-вывода.	0
Сколько байтов занимает float?	8 байт	4 байта	2 байта	1 байт	1
Какой принцип SOLID отвечает за то, что классы должны быть открыты для расширения, но закрыты для модификации.	Dependency Inversion (принцип инверсии зависимостей)	Liskov Substitution (Принцип подстановки Барбары Лисков)	Open-Closed (Принцип открытости-закрытости)	Single responsibility (Принцип единственной ответственности)	2
Выберите принцип SOLID, который не является напрямую связанным с наследованием/реализацией	0. Барбары Лисков	1. Единственной ответственности	2. Инверсиии зависимости	3. Открытости/Закрытости	1
Чем отличаются static-метод класса от обычного метода класса.	Поведение обычного метода класса можно изменить в классе-наследнике, а поведение static-метода нельзя.	Обычный метод класса можно переопределить, а static-метод нельзя.	Обычный метод класса работает от объекта класса, а static-метод от всего класса.	Static-метод класса можно вызывать только внутри класса, а обычный - в любой части кода.	2
Выберите какой паттерн решает проблему множественного обращения к одному ресурсу:	Делегаты	Фабрика	Стратегия	Синглтон	3
Какой модификатор доступа ограничивает видимость данных и методов пределами одного класса?	public	protected	private	default	2
Какой интерфейс позволяет сравнивать экземпляры классов по определенному признаку?	Comparable	Iterable	List	Collection	0
Какой интерфейс позволяет перебирать все элементы коллекции?	Iterable	Set	Comparable	List	0
Аннотация для переопределения метода -	@Overload	@Override	@Test	@FunctionalInterface	1
Какова сложность сортировки HeapSort?	O(n^2)	O(n)	O(n log(n))	O(log(n))	2
Чем отличается блок try-catch от throw?	Ничем	throw прерывает работу программы, а try-catch - нет	try-catch прерывает работу программы, а throw - нет	throw пишется после сигнатуры метода, а try-catch в самом методе	1
Выберите неверное утверждение о файлах::	Файл - всегда набор битов	Примеры текстовых файлов: java, txt, csv	Файл - не интерактивен	Нетекстовые файлы НЕ могут содержать текстовые вставки	3
Перечисления используются для объявления переменных, которые представляют собой…	Классы	Члены фиксированного набора	Интерфейсы	Целые числа	1
Какой тип ошибок проверяется компилятором?	Мягкие	Runtime exception	IOException	Linkage error	1
Какой из ниже перечисленных классов потокобезопасен?	Любой	StringBuilder	StringBuffer	Calendar	2
Что означает переопределение метода в java? (Override)	Изменение поведения метода класса относительно дочернего	Изменение поведения метода класса относительно родительского	Несколько разных классов с одинаковым методом	Несколько методов с одинаковым названием, но разным набором элементов	1
Чем отличаются static-метод класса от обычного метода класса?	Обычный метод класса работает от объекта класса, а static метод от всего класса	Обычный метод класса можно переопределить, а static метод нельзя	Поведение обычного метода класса можно изменить в классе-наследнике, а поведение static метода нельзя	Static метод класса можно вызывать только внутри класса,а обычный -  в любой части кода	0
